tipo,nombre,direccion,lat,lon,materiales,horario
Contenedor Verde,ALVAREZ THOMAS AV. 1067,ALVAREZ THOMAS AV. 1067,-34.57869740613475,-58.4567130147437,,
Contenedor Verde,"ALVAREZ, JULIAN 1578","ALVAREZ, JULIAN 1578",-34.5923836953793,-58.423620606268635,,
Contenedor Verde,"ALVAREZ, JULIAN 1736","ALVAREZ, JULIAN 1736",-34.59126567212813,-58.422008810127814,,
Contenedor Verde,"ALVAREZ, JULIAN 2430","ALVAREZ, JULIAN 2430",-34.58715804264058,-58.41537271917987,,
Contenedor Verde,"ALVEAR, MARCELO T. DE 1647","ALVEAR, MARCELO T. DE 1647",-34.59718695326226,-58.39067746842383,,
Contenedor Verde,"ALVEAR, MARCELO T. DE 1929","ALVEAR, MARCELO T. DE 1929",-34.59726330910233,-58.39522101401658,,
Contenedor Verde,"ALVEAR, MARCELO T. DE 2273","ALVEAR, MARCELO T. DE 2273",-34.596828638208436,-58.39983446198907,,
Contenedor Verde,"ALVEAR, MARCELO T. DE 2391","ALVEAR, MARCELO T. DE 2391",-34.596397305721915,-58.401366240398964,,
Contenedor Verde,AMENABAR 80,AMENABAR 80,-34.577014281169795,-58.439569602644596,,
Contenedor Verde,AMENABAR 515,AMENABAR 515,-34.57365134546505,-58.44444392840575,,
Contenedor Verde,AMENABAR 1005,AMENABAR 1005,-34.57085873862367,-58.449012725250434,,
Contenedor Verde,AMENABAR 1691,AMENABAR 1691,-34.56692818983397,-58.455284353997776,,
Contenedor Verde,AMENABAR 1895,AMENABAR 1895,-34.56516513643225,-58.456800468488474,,
Contenedor Verde,AMENABAR 2065,AMENABAR 2065,-34.56349469293465,-58.4582367600608,,
Contenedor Verde,AMENABAR 3059,AMENABAR 3059,-34.55486936801545,-58.46587481253641,,
Contenedor Verde,AMENABAR 3285,AMENABAR 3285,-34.55295764592164,-58.467914211545676,,
Contenedor Verde,"ANCHORENA, TOMAS MANUEL DE, DR. 1553","ANCHORENA, TOMAS MANUEL DE, DR. 1553",-34.59212357757042,-58.40370162040255,,
Contenedor Verde,"ANCHORENA, TOMAS MANUEL DE, DR. 1802","ANCHORENA, TOMAS MANUEL DE, DR. 1802",-34.589779134583715,-58.40077651496106,,
Contenedor Verde,ARAOZ 1361,ARAOZ 1361,-34.59311916654718,-58.42654122169793,,
Contenedor Verde,ARAOZ 1925,ARAOZ 1925,-34.58946437517616,-58.42107428758582,,
Contenedor Verde,ARAOZ 2415,ARAOZ 2415,-34.58654689454765,-58.416209847000516,,
Contenedor Verde,ARAOZ 2949,ARAOZ 2949,-34.582849524643635,-58.41083868696041,,
Contenedor Verde,ARCE 537,ARCE 537,-34.56976187995109,-58.43282068798426,,
Contenedor Verde,ARCOS 1563,ARCOS 1563,-34.56530467791266,-58.449587100712975,,
Contenedor Verde,ARCOS 1757,ARCOS 1757,-34.56360378216635,-58.45103738171026,,
Contenedor Verde,ARCOS 2273,ARCOS 2273,-34.55877096885152,-58.455203687907506,,
Contenedor Verde,ARCOS 2447,ARCOS 2447,-34.55709689331201,-58.45665507698721,,
Contenedor Verde,ARCOS 2645,ARCOS 2645,-34.55528366249331,-58.45823099170297,,
Contenedor Verde,ARCOS 3053,ARCOS 3053,-34.5516974342584,-58.46203162131814,,
Contenedor Verde,ARCOS 3973,ARCOS 3973,-34.544735047131276,-58.467154297003,,
Contenedor Verde,ARCOS 4427,ARCOS 4427,-34.541217993812914,-58.46975321253305,,
Contenedor Verde,"ARENAL, CONCEPCION 2410","ARENAL, CONCEPCION 2410",-34.57437484653967,-58.437356281725826,,
Contenedor Verde,"ARENAL, CONCEPCION 2760","ARENAL, CONCEPCION 2760",-34.57737875788699,-58.44043170979902,,
Contenedor Verde,ARENALES 1510,ARENALES 1510,-34.594700075946704,-58.388782237482374,,
Contenedor Verde,ARENALES 1677,ARENALES 1677,-34.594943903760196,-58.391510098736106,,
Contenedor Verde,ARENALES 2078,ARENALES 2078,-34.59451531239812,-58.396786711051476,,
Contenedor Verde,ARENALES 2578,ARENALES 2578,-34.593048308861576,-58.40270543657624,,
Contenedor Verde,ARENALES 3052,ARENALES 3052,-34.5897782863094,-58.40757514012037,,
Contenedor Verde,ARENALES 3576,ARENALES 3576,-34.58592605800344,-58.412902597962386,,
Contenedor Verde,ARENALES 3746,ARENALES 3746,-34.58487291370511,-58.41451509780825,,
Contenedor Verde,AREVALO 1885,AREVALO 1885,-34.57965012879035,-58.438900381357875,,
Contenedor Verde,AREVALO 2165,AREVALO 2165,-34.577342462002164,-58.436256677636685,,
Contenedor Verde,ARIAS 1851,ARIAS 1851,-34.539551184869545,-58.467810334916635,,
Contenedor Verde,ARIAS 2283,ARIAS 2283,-34.541546027572814,-58.47175719665948,,
Contenedor Verde,ARMENIA 1315,ARMENIA 1315,-34.59202354299654,-58.43117536820411,,
Contenedor Verde,ARMENIA 1535,ARMENIA 1535,-34.590447550480114,-58.4287879893927,,
Contenedor Verde,ARMENIA 1895,ARMENIA 1895,-34.58822495106229,-58.42542710378094,,
Contenedor Verde,"ARREDONDO, VIRREY 2480","ARREDONDO, VIRREY 2480",-34.56788570087182,-58.45151233806108,,
Contenedor Verde,"ARREDONDO, VIRREY 2821","ARREDONDO, VIRREY 2821",-34.57111656484376,-58.45409047000613,,
Contenedor Verde,"ARREDONDO, VIRREY 3525","ARREDONDO, VIRREY 3525",-34.57740527749925,-58.459003158222714,,
Contenedor Verde,ARRIBENOS 1521,ARRIBENOS 1521,-34.5636075281388,-58.445611361816695,,
Contenedor Verde,ARRIBENOS 1795,ARRIBENOS 1795,-34.56119017931401,-58.447679105818516,,
Contenedor Verde,ARRIBENOS 2699,ARRIBENOS 2699,-34.55274687264902,-58.45461245755924,,
Contenedor Verde,ARRIBENOS 3289,ARRIBENOS 3289,-34.54762002244615,-58.45862792854229,,
Contenedor Verde,ARRIBENOS 3513,ARRIBENOS 3513,-34.54569523426975,-58.4600136956436,,
Contenedor Verde,ARRIBENOS 3767,ARRIBENOS 3767,-34.543768879806926,-58.461432750169955,,
Contenedor Verde,ARTILLEROS 2187,ARTILLEROS 2187,-34.55396538567247,-58.445048160880994,,
Contenedor Verde,ARTILLEROS 2347,ARTILLEROS 2347,-34.5526517783856,-58.44617931237081,,
Contenedor Verde,AUSTRIA 1709,AUSTRIA 1709,-34.59075174127987,-58.407749652219835,,
Contenedor Verde,AUSTRIA 1867,AUSTRIA 1867,-34.589879360391684,-58.40656010908048,,
Contenedor Verde,AUSTRIA 1935,AUSTRIA 1935,-34.58937900231381,-58.40587354411541,,
Contenedor Verde,AUSTRIA 2047,AUSTRIA 2047,-34.58849513591951,-58.40465955140902,,
Contenedor Verde,AUSTRIA 2389,AUSTRIA 2389,-34.586073529670266,-58.401338199055154,,
Contenedor Verde,AUSTRIA 2561,AUSTRIA 2561,-34.584679341471215,-58.3994337819231,,
Contenedor Verde,AUSTRIA 2655,AUSTRIA 2655,-34.583696743744646,-58.398112765742184,,
Contenedor Verde,"AVILES, VIRREY 2913","AVILES, VIRREY 2913",-34.57041833586036,-58.456383065696315,,
Contenedor Verde,"AVILES, VIRREY 3055","AVILES, VIRREY 3055",-34.57198627911191,-58.457580156182615,,
Contenedor Verde,AYACUCHO 879,AYACUCHO 879,-34.598985985877654,-58.39584219964279,,
Contenedor Verde,AYACUCHO 1199,AYACUCHO 1199,-34.59474182288379,-58.39589630756424,,
Contenedor Verde,AYACUCHO 1221,AYACUCHO 1221,-34.59428345500794,-58.39581537765966,,
Contenedor Verde,AYACUCHO 1427,AYACUCHO 1427,-34.59240740144,-58.39457842904799,,
Contenedor Verde,AYACUCHO 1561,AYACUCHO 1561,-34.59130428652108,-58.393305225683704,,
Contenedor Verde,AYACUCHO 2076,AYACUCHO 2076,-34.58705089332684,-58.388630619879685,,
Contenedor Verde,AYACUCHO 2180,AYACUCHO 2180,-34.58613649841379,-58.387707904773265,,
Contenedor Verde,AZCUENAGA 838,AZCUENAGA 838,-34.59890329997235,-58.40094435206263,,
Contenedor Verde,AZCUENAGA 1068,AZCUENAGA 1068,-34.595651907712146,-58.39988375629378,,
Contenedor Verde,AZCUENAGA 1170,AZCUENAGA 1170,-34.59447824298907,-58.39966163450507,,
Contenedor Verde,AZCUENAGA 1296,AZCUENAGA 1296,-34.59349437297804,-58.39923957797028,,
