wkt_geom,direccion,barrio,comuna,mas_info,materiales
Point (106439.81325599999399856 101833.05562600000121165),Moreno 1891,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105955.54746000000159256 101795.98323500000697095),Moreno 2277,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105808.64585699999588542 101782.39649299999291543),Moreno 2381,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105758.62786700000287965 101783.85756099999707658),Moreno 2415,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105448.17408799999975599 101765.06609900000330526),Moreno 2679,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105072.19256300000415649 102511.14043699999456294),Sarmiento 2965,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104949.005501000006916 102688.2203120000049239),Jean Jures 424,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104843.58718200000294019 103329.45781500000157394),Ag?ero 909,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (104755.4638929999928223 102940.45448000000033062),Aguero 610,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (106369.68986699999368284 101949.9002699999982724),"Alsina, Adolfo 1936",Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105140.74132400000235066 101852.4492820000014035),"Alsina, Adolfo 2916",Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105366.21435999999812339 101535.92292799999995623),Av. Jujuy 467,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (106223.84551199999987148 101338.69942499999888241),Chile 2056,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105639.53476999999838881 101275.00972499999625143),Chile 2556,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
Point (105241.58150600000226405 102739.37772800000675488),Corrientes Av. 2856,Balvanera,3,Los materiales deben estar lim,Papel / Cartón / Plástico / Metal / Vidrio
